"","Sex","Hghst_Grde_Moth","Hghst_Grde_Fath","GPA","CogAbilityRank","Total_Enrlmnt","Num_Bks_Lib","Pct_Disadv","Pct_Attnd","Pct_Dropout","Pct_Stdnt_Female","Pct_Fac_Female","Num_FT_Couns","Num_FT_Fac","Pct_FT_Fac_GrdDeg","Headstart","ClassRankPercentile","Marital_Status","Num_Kids_HH","Self_Inc_2009","Hghst_Deg_Obt"
"4419","0",6,6,2.22222222222222,12,1596,11000,64,94,17,51,47,5,83,52,"1",25.4019292604502,"1",3,23500,"2"
"4426","1",8,7,2.45,41,1596,11000,64,94,17,51,47,5,83,52,"0",32.5648414985591,"1",2,70000,"2"
"4461","1",11,10,3.04545454545455,1,1600,18000,55,92,21,55,50,4,104,65,"1",83.7662337662338,"0",0,68000,"1"
"4485","1",12,9,1.23333333333333,16,970,10500,40,93,25,53,56,3,51,38,"0",12.463768115942,"0",1,65000,"1"
"4630","0",14,14,3.55172413793103,7,1974,21260,1,92,50,58,61,4,90,60,"1",90.75,"1",2,25000,"1"
"4633","0",14,12,3.33333333333333,4,1974,21260,1,92,50,58,61,4,90,60,"1",80.8641975308642,"1",1,70000,"3"
"4639","0",8,8,1.52,20,2259,27000,20,89,10,60,60,7,108,64,"0",26.5646731571627,"1",1,75000,"1"
"4642","0",6,7,1.45652173913043,30,2259,27000,20,89,10,60,60,7,108,64,"0",14.0472878998609,"0",1,51000,"2"
"4643","1",17,20,3.83783783783784,90,2603,33088,18,89,19,51,49,6,112,70,"0",99.7409326424871,"1",2,312324,"3"
"4691","1",0,0,2.21212121212121,4,2075,13000,37,98,25,51,39,5,77,34,"0",49.75,"0",0,0,"3"
"4773","1",12,12,2.55555555555556,10,1535,14546,15,94,15,60,54,4,82,41,"1",26.1261261261261,"0",0,34000,"3"
"4809","0",6,6,3,30.5,1550,14800,20,93,4,52,48,4,65,20,"1",77.0562770562771,"1",2,28000,"2"
"4817","0",6,4,3.33333333333333,16,1596,11000,64,94,17,51,47,5,83,52,"1",84.9056603773585,"1",1,52000,"4"
"4818","0",12,10,2.56521739130435,39,1596,11000,64,94,17,51,47,5,83,52,"0",32.8220858895705,"1",1,0,"2"
"4849","1",10,14,2.84,61,1119,11683,22,91,12,38,62,2,45,30,"0",66.0194174757281,"1",0,5000,"1"
"4850","1",10,14,1.52,31,1119,11683,22,91,12,38,62,2,45,30,"0",11.7647058823529,"0",2,0,"1"
"4858","0",12,0,2.63888888888889,40,1279,15000,10,92,10,47,34,4,66,71,"0",42.4870466321243,"0",0,36000,"1"
"4886","0",14,15,2.81481481481481,43,1921,16593,30,94,33,50,50,4,92,55,"1",52.9801324503311,"0",0,0,"3"
"4889","1",12,8,2.78260869565217,70,1410,14100,5,94,10,49,52,3,68,50,"0",60,"1",2,78000,"3"
"4925","0",12,12,1.6,36.5,1700,19000,2,92,6,52,55,4,85,70,"0",30.6406685236769,"1",1,85000,"1"
